No.,Location of Anomaly,anomaly_start,anomaly_end,after
1,52310,52000,52620,35000
2,56750,56600,56900,35000
3,46750,46600,46900,35000
4,5500,5400,5600,2500
5,5391.5,5391,5392,4000
6,5715,5703,5727,4000
7,6532,6520,6544,4000
8,5573,5549,5597,4000
9,4876,4852,4900,4000
10,6030,6006,6054,4000
11,11950,11800,12100,10000
12,16050,16000,16100,15000
13,16050,16000,16100,15000
14,17050,17000,17100,8000
15,16950,16800,17100,5000
16,17000,16900,17100,5000
17,17050,17000,17100,5000
18,17050,17000,17100,8000
19,6190,6168,6212,5000
20,7281.5,7175,7388,5000
21,5970.5,5948,5993,5000
22,6586,6527,6645,4000
23,8664,8612,8716,5000
24,4541,4526,4556,3200
25,5620.5,5607,5634,2800
26,5769,5684,5854,1700
27,4193,4187,4199,1200
28,3253.5,3198,3309,1600
29,4536,4485,4587,2300
30,4192,4187,4197,3000
31,5839,5759,5919,2700
32,4854,4675,5033,1000
33,6285,6200,6370,4000
34,3551.5,3474,3629,1500
35,5919.5,5865,5974,2500
36,6640,6599,6681,4200
37,17235,17210,17260,5000
38,27897,27862,27932,5000
39,16405,16390,16420,5000
40,17455,17390,17520,6000
41,17455,17390,17520,7000
42,12305,12190,12420,7000
43,19360,19280,19440,10000
44,18653,18485,18821,9000
45,23537,23357,23717,14000
46,23441,23405,23477,16000
47,24041,24005,24077,18000
48,6036.5,5988,6085,3500
49,5372.5,5365,5380,3500
50,6036.5,5988,6085,3500
51,9335,9330,9340,3500
52,4760,4711,4809,3500
53,2879.5,2764,2995,1500
54,5949.5,5920,5979,2700
55,21025,20950,21100,10000
56,11161,11111,11211,5000
57,16050,16000,16100,6000
58,12274,12240,12308,10000
59,38650,38500,38800,20000
60,46650,46500,46800,22000
61,60200,59900,60500,24500
62,33125,33070,33180,18500
63,31525,31200,31850,18500
64,38800,38400,39200,23400
65,7015,7000,7030,3000
66,8012.5,8000,8025,3700
67,7025,7000,7050,5200
68,6533,6508,6558,1300
69,8500.5,8500,8501,3200
70,52700,52600,52800,17555
71,52700,52600,52800,23000
72,52700,52600,52800,20000
73,72322.5,72150,72495,60000
74,12600,12400,12800,4000
75,13600,13400,13800,4000
76,131290,130700,131880,48000
77,110800.5,110800,110801,58000
78,110336,110260,110412,100000
79,168250,168250,168250,30000
80,168250.5,168250,168251,30000
81,158250.5,158250,158251,45000
82,128430.5,128430,128431,70000
83,143461,143411,143511,38000
84,35824,35774,35874,12000
85,35824,35774,35874,10000
86,68075,67950,68200,20000
87,51555,51370,51740,17000
88,49555,49370,49740,20000
89,114316.5,114283,114350,100000
90,124572,124159,124985,50000
91,114185,114000,114370,40000
92,67995.5,67995,67996,20000
93,52310,52000,52620,35000
94,5500,5400,5600,2500
95,5573,5549,5597,4000
96,17000,16900,17100,5000
97,5970.5,5948,5993,5000
98,4193,4187,4199,1200
99,3551.5,3474,3629,1500
100,17235,17210,17260,5000
101,17455,17390,17520,6000
102,19360,19280,19440,10000
103,4760,4711,4809,3500
104,16050,16000,16100,6000
105,60200,59900,60500,24500
106,31525,31200,31850,18500
107,7025,7000,7050,5200
108,168250,168250,168250,30000
109,52310,52000,52620,35000
110,56750,56600,56900,35000
111,46750,46600,46900,35000
112,5500,5400,5600,2500
113,5391.5,5391,5392,4000
114,5715,5703,5727,4000
115,6532,6520,6544,4000
116,5573,5549,5597,4000
117,4876,4852,4900,4000
118,6030,6006,6054,4000
119,11950,11800,12100,10000
120,16050,16000,16100,15000
121,16050,16000,16100,15000
122,17050,17000,17100,8000
123,16950,16800,17100,5000
124,17000,16900,17100,5000
125,17050,17000,17100,5000
126,17050,17000,17100,8000
127,6190,6168,6212,5000
128,7281.5,7175,7388,5000
129,5970.5,5948,5993,5000
130,6586,6527,6645,4000
131,8664,8612,8716,5000
132,4541,4526,4556,3200
133,5620.5,5607,5634,2800
134,5769,5684,5854,1700
135,4193,4187,4199,1200
136,3253.5,3198,3309,1600
137,4536,4485,4587,2300
138,4192,4187,4197,3000
139,5839,5759,5919,2700
140,4854,4675,5033,1000
141,6285,6200,6370,4000
142,3551.5,3474,3629,1500
143,5919.5,5865,5974,2500
144,6640,6599,6681,4200
145,17235,17210,17260,5000
146,27897,27862,27932,5000
147,16405,16390,16420,5000
148,17455,17390,17520,6000
149,17455,17390,17520,7000
150,12305,12190,12420,7000
151,19360,19280,19440,10000
152,18653,18485,18821,9000
153,23537,23357,23717,14000
154,23441,23405,23477,16000
155,24041,24005,24077,18000
156,6036.5,5988,6085,3500
157,5372.5,5365,5380,3500
158,6036.5,5988,6085,3500
159,9335,9330,9340,3500
160,4760,4711,4809,3500
161,2879.5,2764,2995,1500
162,5949.5,5920,5979,2700
163,21025,20950,21100,10000
164,11161,11111,11211,5000
165,16050,16000,16100,6000
166,12274,12240,12308,10000
167,38650,38500,38800,20000
168,46650,46500,46800,22000
169,60200,59900,60500,24500
170,33125,33070,33180,18500
171,31525,31200,31850,18500
172,38800,38400,39200,23400
173,7015,7000,7030,3000
174,8012.5,8000,8025,3700
175,7025,7000,7050,5200
176,6533,6508,6558,1300
177,8500.5,8500,8501,3200
178,52700,52600,52800,17555
179,52700,52600,52800,23000
180,52700,52600,52800,20000
181,72322.5,72150,72495,60000
182,12600,12400,12800,4000
183,13600,13400,13800,4000
184,131290,130700,131880,48000
185,110800.5,110800,110801,58000
186,110336,110260,110412,100000
187,168250,168250,168250,30000
188,168250.5,168250,168251,30000
189,158250.5,158250,158251,45000
190,128430.5,128430,128431,70000
191,143461,143411,143511,38000
192,35824,35774,35874,12000
193,35824,35774,35874,10000
194,68075,67950,68200,20000
195,51555,51370,51740,17000
196,49555,49370,49740,20000
197,114316.5,114283,114350,100000
198,124572,124159,124985,50000
199,114185,114000,114370,40000
200,67995.5,67995,67996,20000
201,17008.5,17001,17016,10000
202,11013,10998,11028,10411
203,11011.5,10995,11028,10500
204,15035,15000,15070,12412
205,29040,28995,29085,9812
206,29110,29080,29140,25130
207,26959,26929,26989,3165
208,27959,27929,27989,5130
209,27120,26970,27270,19000
210,74948,74900,74996,36123
211,39288,39240,39336,38113
212,29492,29480,29504,8913
213,127145,126920,127370,33211
214,126045,125720,126370,34211
215,107045,106720,107370,36276
216,161045,160720,161370,37216
217,151045,150720,151370,38211
218,211045,210720,211370,41117
219,64742,64632,64852,41612
220,251045,250720,251370,43217
221,164242,163632,164852,45616
222,91450,91200,91700,56123
223,131450,131200,131700,74123
224,191450,191200,191700,76123
225,143150,143000,143300,81214
226,123150,123000,123300,96123
227,29050,29000,29100,11231
228,47840,47830,47850,11361
229,57965,57960,57970,16363
230,19560,19510,19610,19363
231,47660,47530,47790,8763
232,57660,57530,57790,8763
233,24500.5,24500,24501,18913
234,24600.5,24600,24601,18913
235,75450.5,75450,75451,18913
236,46370,46350,46390,19313
237,89965,89560,90370,19313
238,72690,72600,72780,21311
239,593482,593450,593514,190037
240,884150,884100,884200,240030
241,838250,837400,839100,250000
242,104760,104630,104890,100000
243,203377.5,203355,203400,100000
244,104760,104630,104890,100013
245,270935,270800,271070,100211
246,270935,270800,271070,100211
247,121940,121900,121980,50211
248,4704.5,4702,4707,2000
249,8300,8285,8315,2753
250,7293,7290,7296,2951